#在注释中：支持使用 &nbsp 来定义空格，支持使用 <br> 来定义换行，而正常的空格被用于分词

# 宇码·卿云输入法的字根口诀 (注释)
{两点二}(èr)，<br>甫(fǔ)用木干(gàn)㐄(kuà)[飞]ₑ甲	〔注〕(关二爷)仅用一根木棍就穿过了刀剑的夹击
幺	〔例〕率弦後摔呦磁炫兹玄幻
⺀	〔例〕买图卖头於科疼尽实斗
⺊	〔例〕点站占店掉贴战帧敲钻
田	〔例〕画猫男界翻留略累逼喂
石	〔例〕硬破砸码砍碗碳石磅磨
卯	〔例〕聊留溜柳卵卿贸遛卯瘤
大	〔例〕大买类天太因卖读嗯换
舌	〔例〕啥话活乱甜刮舔話敌舍
冫	〔例〕次均跳率弱冲挑准冷冰
欠	〔例〕次款吹歌欲砍软欧欠饮
爪	〔例〕爱受菜抓踩爬暖爲舜摇
子	〔例〕好学字子教李存厚孔猛
扌	〔例〕我把啦找打哦按搞拍挺
辛	〔例〕辣劈锌辛壁宰避薛臂辩
甫	〔例〕薄博铺敷傅搏辅甫捕簿
氵	〔例〕没法酒派注活混满油涨
母	〔例〕每海嗨毒酶梅姆母霉敏
早	〔例〕掉早章朝草韩潮谭罩卓
戶	〔例〕所戶㫹㣗乺齭𨽩𣪔𨺅𢯢
方	〔例〕放方於防房族旁磅游榜
耂	〔例〕都者考老教煮猪烤著赌
日	〔例〕是但都时更日最得者题
糸	〔例〕系累紫紧索素係嗦鲧攥
电	〔例〕电俺拽龟腌绳庵掩淹電
干	〔例〕干平肝评汗暖赶杆刊砰
マ	〔例〕令零冷领痛通桶铃捅拎
米	〔例〕来类米数粉翻糖楼噢屎
夕	〔例〕将多岁外名死罗够梦奖
㐄	〔例〕年降舞舜磷鳞麟绛瞬桀
士	〔例〕款装声壶壳结志吉士壮
冖	〔例〕写学带爱受深军壶旁壳
了	〔例〕了哼辽烹亨疗極亟钌殛
予	〔例〕野揉序预舒柔矛予豫茅
彐	〔例〕当即既群赚事君归档键
亍	〔例〕行街衡衔衍衙術荇珩桁
彑	〔例〕互缘篆彘喙彙掾彝錄彖
{五下}	〔例〕五吾语悟唔捂伍語衙違
{炙上}	〔例〕然燃將炙醬蔣獎撚漿鱂
止	〔例〕此些扯嘴步啃肯紫武止
{亞下}	〔例〕噁亞惡鬬壺壼斵啞鵶瘂
又	〔例〕对又最版爱度发受仅难
亡	〔例〕忙望忘慌亡盲荒谎芒氓
几	〔例〕坑机风船微凭几抗亮凡
亥	〔例〕该核氦刻咳該亥孩颏骇
亦	〔例〕变亦蛮弯湾恋奕迹変鸾
立	〔例〕啦新站倍位拉端音部接
{京上}	〔例〕就哼郭熟凉景影哀醇鲸
{亮上}	〔例〕亮停豪亭壕嚎婷毫濠亳
木	〔例〕想新某本课条集杀除菜
土	〔例〕在等去再却地型块法均
{衣下}	〔例〕表派装滚依浓袋衣讓哀
囗	〔例〕图因四嗯回圈国团圆恩
{臼分}	〔例〕與學舆覺爨興擧舉攪歟
厂	〔例〕原愿压厚厂源呃跪顾厅
卜	〔例〕外卡处补盐扑赴卦咔卧
㔾	〔例〕卷圈抢枪犯碗呃仓范跪
寸	〔例〕对等时将过得待诗树怼
工	〔例〕式差经项红轻左空试杠
弋	〔例〕式代试贷武袋腻赋黛忒
门	〔例〕们问间门闪闹简闻搁润
{卬左}	〔例〕低纸底印氏抵兜昂迎婚
卩	〔例〕却即报脚命服印爷御昂
月	〔例〕有能月前请背脸期腿随
牛	〔例〕牛件特解制物朱诛製牵
{反彐}	〔例〕虐疟谑繩謔鄳僶黽澠仺
弓	〔例〕第强张费弱弹涨弦弓引
凵	〔例〕出纯画离吨胸脑陆顿炖
殳	〔例〕没投段般股设搬毁殿殷
心	〔例〕想您感总嗯心怼德念愿
犬	〔例〕哭器然获状臭犬突伏燃
戈	〔例〕我或找哦钱越线戳戏贼
夫	〔例〕卷圈铁替养夹跌券拳侠
尤	〔例〕就龙优尤宠犹庞忧袭泷
火	〔例〕谈火烂烤灯炒烧爆炸烟
车	〔例〕连车转较库轻轮军输软
牙	〔例〕呀穿牙雅邪芽鸦伢铘犽
见	〔例〕见宽现视观觉舰髋搅揽
长	〔例〕张长涨帐账胀怅枨伥苌
文	〔例〕这离文刘齐脑挤剂纹斑
宀	〔例〕它按家字完管瞎宋定宽
尸	〔例〕呢刷层据届管假属局剧
女	〔例〕要她好如按数女接楼腰
白	〔例〕的拍原怕白皆愿源邀啪
古	〔例〕做克据故滴苦剧古氪湖
儿	〔例〕说先选四既赞克跳儿挑
由	〔例〕由届油黄抽轴横迪庙鼬
申	〔例〕神申审伸坤砷抻畅婶痩
正	〔例〕正证整症歪焉征政嫣蔫
未	〔例〕未味妹魅昧釐氂眛寐沬
皮	〔例〕被破皮波颇彼坡披铍皱
示	〔例〕款神票社祝视擦标飘礼
夊	〔例〕做图放各处条数改路教
用	〔例〕用解嘴痛通角桶蟹捅确
瓦	〔例〕瓶瓦瓷甄瓮甑甗甏瓯甍
巳	〔例〕跑包泡港抱炮民刨导饱
合	〔例〕给拿哈答命搭塔合盒恰
羊	〔例〕群羊善样氧鲜藓癣咩痒
耳	〔例〕最聊取敢耳耶闻娶聚联
艮	〔例〕跟很腿退根狼眼银恨狠
刂	〔例〕到前则型刚刷别倒剑例
⺧	〔例〕先靠选赞洗造攒酷告糙
广	〔例〕度店应库糖床唐广座底
{荒下}	〔例〕流慌疏硫荒梳谎侃毓琉
至	〔例〕到至倒喔致室屋握臻臺
來	〔例〕來麵麴徠逨萊唻庲麯麪
⺌	〔例〕当光档肖锁稍挡晃削逍
兀	〔例〕元玩完光远烧绕院冠浇
皿	〔例〕血盘盐蓝盖猛盒磕盆盗
而	〔例〕而端需耍踹耐瑞斋糯喘
冊	〔例〕篇偏遍骗编扁嗣蝙煸論
舟	〔例〕盘船般搬艘舰舱艇舟航
西	〔例〕要票腰西晒飘贾漂嫖谭
贝	〔例〕则赞赚喷呗贴贵费货赢
矢	〔例〕唉短诶矣知族智挨侯矮
辰	〔例〕薅唇震辰辱晨振宸赈蜃
{囟框}	〔例〕傻窗粤總瑙宮貔骢呂蟌
廴	〔例〕挺键建健艇延庭廷霆诞
足	〔例〕跟跑路跳踢踩跨蹭足蹲
犭	〔例〕狗猫猪狼逛犯猜猛获狂
巴	〔例〕吧把色爬绝爸巴肥靶邑
巛	〔例〕巡巢經剿輕鎻瑙擸勁甾
見	〔例〕見現覺觀寬覚観視規親
里	〔例〕里量懂重理撞野埋董裏
言	〔例〕信說言這話詹讓警誰請
車	〔例〕較軍車輕連繫庫転撃斬
{具上}	〔例〕真值直填镇置具俱颠槙
非	〔例〕靠非排罪悲菲匪裴辈韭
龶	〔例〕请表清精猜毒熬情青债
𡗗	〔例〕秦捧凑棒蠢春揍泰奉奏
{卑上}	〔例〕牌啤脾碑俾卑婢稗髀裨
虎	〔例〕虎唬彪虢號饕虓褫遞猇
長	〔例〕長張漲帳賬脹餦掁韔鋹
入	〔例〕入內兩汆滿倆込籴吶肏
門	〔例〕們開間簡關門問聞関闇
屮	〔例〕出逆屈朔阙窟掘倔厥溯
尚	〔例〕党常躺撑尚趟堂掌赏棠
其	〔例〕其期斯撕基棋甚旗欺箕
隹	〔例〕谁难集推戳准堆维唯催
龰	〔例〕是题提定蛋楚從碇旋疑
目	〔例〕看想着算省瞎睡相眼夏
穴	〔例〕穿穷空挖控窄窗窝腔窜
臼	〔例〕搜瘦插掐艘鼠毁寫鼬馅
阝	〔例〕都啊那帮除部队哪随陈
页	〔例〕题页项额顶领颗须顺硕
艹	〔例〕花若懂猫菜哎药满茶宽
{丄丶}	〔例〕属禹龋嘱瑀瞩踽齲渪㝢
户	〔例〕篇偏遍骗房编户肩扇驴
風	〔例〕風颱颯瘋飄嵐飇諷楓飆
酉	〔例〕酒配酱酸蹲酷醋酶酥醒
貝	〔例〕勣讀買則賺賣賊員媜貼
彳	〔例〕很得往行待德後街徐從
面	〔例〕面缅麵靥緬麺勔糆愐靧
禺	〔例〕遇藕偶愚萬寓隅耦禺颙
巜	〔例〕巜粼兪偸喩楡婾𤏞𤿄𲌐
{爲下}	〔例〕為爲蒍偽僞譌蘤撝潙嬀
龸	〔例〕尝偿鲿坣䟫龸𧑽𬴞𡭠𡮕
鬼	〔例〕鬼魔魏魂瑰魅魁愧魈魄
{冓上}	〔例〕塞赛寒讓寨镶穰噻講嚷
馬	〔例〕嗎馬験罵驩駅憑驚騙騎
肀	〔例〕糖唐箫萧庸塘盡儘肃啸
高	〔例〕高搞敲稿膏镐蒿嵩缟鄗
缶	〔例〕缺淘掏缸摇罐陶瑶谣遥
⺶	〔例〕着差搓羌羞嗟蹉槎瘥瑳
豕	〔例〕家蒙嫁豪冢塚壕嚎逐啄
骨	〔例〕滑骨髋體骶髓骰髂骸髒
讠	〔例〕让说该讲谁请课读论话
{曹上}	〔例〕遭槽曹糟嘈漕艚慒鰽蹧
{專上}	〔例〕惠穗傳蕙轉團專漙槫糰
戊	〔例〕成感喊城减咸威盛碱诚
{祭上}	〔例〕擦祭蔡镲察嚓檫際漈磜
頁	〔例〕頁類頭願頗瀬頂顔題項
灬	〔例〕点热煮照然煎熬熟熊蒸
卌	〔例〕舞無帶卌膴橆蕪撫儛滯
革	〔例〕鞋勒嘞勤靶鞭霸靴革谨
辶	〔例〕这还过连选道进近送边
罒	〔例〕罗慢德罪摆蜀罢置罚曼
僉	〔例〕劍臉險驗撿劒僉檢鹼簽
{豕下}	〔例〕像遂象橡缘豫篆喙毅隊
壴	〔例〕鼓喜彭嘉嘭嘻膨瞽樹禧
癶	〔例〕登橙蹬瞪發凳葵癸澄発
{曾中}	〔例〕曾蹭會增赠僧噌甑缯層
{黽中}	〔例〕龜繩竈鄳黿僶黽龝鼀澠
曲	〔例〕曲體軆豊禮醴澧農麯鳢
⺷	〔例〕美盖對姜镁糕羹曦樣義
{雋下}	〔例〕凹儁兕觽嶲寯垇檇雋臇
𠂭	〔例〕鬯儍鑁䧭糭㯶𦞅𩦲𤛵𪚴
雨	〔例〕需零雨雷雪霍雾漏霉露
臣	〔例〕藏臣卧臧樫藍緊豎蔵鑒
{鼠下}	〔例〕鼠鼬擸鼩鬣獵臘镴竄鼦
虍	〔例〕虚虐嘘虏虞滤處虑據掳
鹿	〔例〕鹿麟麒麓麝鄜麗麋镳簏
{龍右}	〔例〕龍龘鑨瀧朧龐籠攏龑龏
{襄上}	〔例〕讓镶穰嚷襄瓤孃攘曩禳
黑	〔例〕黑嘿墨黛薰熏默點黔黯
糹	〔例〕給總變線羅經経約級灣
毛	〔例〕笔毛尾耗撬蚝毯毫毡毬
{节下}	〔例〕节卫栉疖兯厁壭𰓜𬶎𠰱
冎	〔例〕冎𠕩𠛰𤓑𦦴𬟬𨀩𣑍𠈥
马	〔例〕吗骂马骗码妈骑冯驻驴
金	〔例〕金錢淦鑫錯鉴鍾鉄鎻錶
{鸟上}	〔例〕岛捣枭凫袅𫋇𫽲𡷊𮹔
己	〔例〕起改记配凯纪忌己岂妃
气	〔例〕气氪氢氧氦氟氮氨氚氘
衤	〔例〕被补初裸裙衫褚複裤裆
ス	〔例〕经轻劲氢颈茎径陉烃胫
咼	〔例〕過卨鍋咼窩禍騧楇喎渦
生	〔例〕性生星胜姓醒隆笙腥産
⺮	〔例〕等第算篇答笑管笔签箭
虫	〔例〕强蛮虽蛋蛇虾蠢蜀蟹虫
自	〔例〕道自咱首臭镍鼻嗅息溴
麻	〔例〕嘛魔磨麻麽摩蘼麼靡糜
手	〔例〕拿手拳撑掰掌摩攀摹撃
⺍	〔例〕学州觉搅洲戦獣鲎桜酬
身	〔例〕谢躲身躺射軆躬榭躯麝
甲	〔例〕甲鸭钾押闸匣呷岬狎鴨
爿	〔例〕藏鼎將臧爿寤牂狀寐裝
卝	〔例〕芈卝雈茍羋哶蝆羐㐀䖹
叀	〔例〕叀𢮨𧈌𤴛𣚢𠵤𣶣𦑐𣓧𦁆
隶	〔例〕康逮糠隶棣鱇慷隸埭隷
{发左}	〔例〕发废拨泼酦袯䥽𨤖𫂈𭘟
向	〔例〕向响饷嚮垧晌姠餉珦銄
尢	〔例〕无尬抚尴芜庑呒拋尢尪
瓜	〔例〕瓜孤瓣弧瓢狐呱瓠菰瓤
纟	〔例〕给级线约练组纯经红药
走	〔例〕走越起超赵趁赶趟赴徒
末	〔例〕末抹袜沫茉妺秣眜皌䴲
川	〔例〕州顺川训氚洲酬钏驯順
{奐上}	〔例〕換敻奐喚瓊夐煥渙藑瘓
食	〔例〕食餐館飨飯飲喰饕餘餓
{穀框}	〔例〕穀毂縠榖彀殻殼觳糓慤
烏	〔例〕烏嗚塢隖歍摀鎢溩熓䡧
{鳥上}	〔例〕島鄡搗梟裊嬝蟂槝鳬嘄
{華中}	〔例〕華樺譁燁嘩嬅鏵澕驊墷
片	〔例〕版片牌鼎牒橚牖牍驌淵
鱼	〔例〕鱼撸鲁鲜藓癣鲸衡鲨鳖
{向框}	〔例〕噢奥澳奧燠薁懊墺隩襖
{步下}	〔例〕步涉频歲陟颦濊蘋賓濒
魚	〔例〕鮟鱇魚蘇鮮鱀鮨魭魟鯀
齒	〔例〕齮齕齣齒齾齤齟齧嚙齬
𠄎	〔例〕场汤杨烫扬肠荡畅旸砀
{阜上}	〔例〕追薛孽槌歸師阜埠帥缒
忄	〔例〕快性怕懂怪慢忙懒恨惨
{眉上}	〔例〕声眉聲媚馨磬镅郿罄湄
鹵	〔例〕鹹滷鹽鹵鹼鹻鏀䴞蓾鹶
豸	〔例〕豹貌霾貂貉豺貘貊貔邈
镸	〔例〕套肆隂镸蕻蕼䕃镼䦉镾
{姬右}	〔例〕姬熙颐茝洍賾赜巸頤宧
疒	〔例〕病疼痛瘦症疯癌癣痰痒
{贏框}	〔例〕赢嬴瀛灜羸蠃贏臝驘鸁
{母框}	〔例〕贯惯毋實毎慣掼毐毌貫
リ	〔例〕班归师帅筛狮辨帰蛳岿
钅	〔例〕钱错锅键铁银锁镇锤钻
鳥	〔例〕鳥嶋鶸鵺鳩鳴鴨鶴鳯鶵
{微上}	〔例〕微薇徽徵徴癥瀓癓鰴懲
已	〔例〕已𩨕𥔊𱢅𢩽𠯇𥮄𩝮𱫆𠲹
{鹿上}	〔例〕慶灋薦廌韉瀳䍎韀羻櫦
{弬右}	〔例〕煕弬𦣝
{馬上}	〔例〕慿𠙖𫠉𠗦𦋱𮩸𭱃𤟨𮩵
戸	〔例〕戸䋆𭇪𨳇𮝕𮒘𱻺𱂔𮣀
曰	〔例〕曰汩抇㫚
龵	〔例〕看拜掰湃搿㗑龵𦙚𠸦𡙍
𠁁	〔例〕鬭斲㓸𧞗𩔡𧞐𧡸𨷖𡟳𠍄
飛	〔例〕飛飜飝騛榌䬠䬡䙍𫍄𩙵
{龠上}	〔例〕籥龠瀹龢龤籲鑰爚龥禴
甶	〔例〕甶𠂽𪭎𭅡𭬞𮠁𤰲𤲄𦂢𮗆
鸟	〔例〕鸡鸟鸭鹅鹰鸣鹤鸽鹏鸠
竹	〔例〕竹𮅋𮅤⽵𮆗𥷹𥴒𥯵𪠿𫇸
⺼	〔例〕肦脁胐脧膧䏭胊葋䑃䏓
饣	〔例〕饭饼饰馆饿饮馋饱馀馅
襾	〔例〕襾𧟿𧟣𡊹𧟼𧟧𮗋𧠃𧠂𮂗
髟	〔例〕髮髪鬓鬆髻髯髦髭髡鬘
鬥	〔例〕鬧鬥鬬鬭鬪鬨鬦鬩鬮鬫
〇	〔例〕㫈㔔㪳〇㇣
{虍上}	〔例〕䥧㲊𧸩𤃒𥈠𠩳𧑺𤂓𣤝𭬍
{卯左}	〔例〕𱰴𨜮𠂑𬂪𠂎𭄠𠨥𨜊𫑙
{烏上}	〔例〕𱣠𠂶
{互中}	〔例〕𦇚𢑭𠐫𫹆𭳛𢑥𣦶𫺟𣪴
{鬼左}	〔例〕𮫥𣁽𢡨𮫜𦼄𭀯𲌭𩲆𮫝
⺕	〔例〕𮯆𠟱𦀱⺕𦘚𦘙
{僉上}	〔例〕𠠆𮧭𭺈𨼶
〣	〔例〕𬼘𧫲𭓇𠤈𫧁𭤏𭖲𤞹〣
{亞中}	〔例〕𣤼𣒘𦖂𩤷𣇅𢍐𤡼𠤛
𡿨	〔例〕𡘁𱧼𢪢𱮦𱿀𭂼𱼃𱾜𥘍㇛
{齊右}	〔例〕𥒛𪗄𱍸𧨥𡶳𦍖𢁤𱬵
⻍	〔例〕𭞅⻍
⺥	〔例〕⺥



# 单位换算公式
℃	摄氏度<br>=(℉-32)*5/9
℉	华氏度<br>=32+℃*9/5

# 24节气相关
节气	春雨惊春清谷天，夏满芒夏暑相连。<br>秋处露秋寒霜降，冬雪雪冬小大寒。
气候	二十四节气，立春始，奇为节，偶为气，为之节气；约15日一节/气，又为5日为一候，3候一节/气，共72候；以上，合曰气候
冬至	冬至之日蚯蚓结，又五日麋角解，又五日水泉动。
小寒	小寒之日雁北乡，又五日鹊始巢，又五日雉始鸲。
